Codice Provincia Storico,categoria,Reato,Codice Provincia,Provincia,ANNO,Totale,Codice Regione,Denominazione Provincia,Sigla automobilistica,Codice NUTS2 2021 (3),Codice NUTS3 2021,Totale Maschi,Totale Femmine,Totale Popolazione,ratio
001,ATTENTATI,01.0 ATTENTATI,201,TORINO,2017,9,01,Torino,TO,ITC1,ITC11,1074296,1144910,2219206,0.405550
001,STRAGE,02.0 STRAGE,201,TORINO,2017,1,01,Torino,TO,ITC1,ITC11,1074296,1144910,2219206,0.045061
001,OMICIDI VOLONTARI CONSUMATI,03.0 OMICIDI VOLONTARI CONSUMATI,201,TORINO,2017,10,01,Torino,TO,ITC1,ITC11,1074296,1144910,2219206,0.450612
001,TENTATI OMICIDI,05.0 TENTATI OMICIDI,201,TORINO,2017,44,01,Torino,TO,ITC1,ITC11,1074296,1144910,2219206,1.982691
001,TENTATI OMICIDI,05.a Tentato omicidio a scopo di furto o rapina,201,TORINO,2017,3,01,Torino,TO,ITC1,ITC11,1074296,1144910,2219206,0.135183
001,OMICIDIO PRETERINTENZIONALE,06.0 OMICIDIO PRETERINTENZIONALE,201,TORINO,2017,1,01,Torino,TO,ITC1,ITC11,1074296,1144910,2219206,0.045061
001,OMICIDI COLPOSI,07.0 OMICIDI COLPOSI,201,TORINO,2017,28,01,Torino,TO,ITC1,ITC11,1074296,1144910,2219206,1.261713
001,OMICIDI COLPOSI,07.a Omicidio da incidente stradale,201,TORINO,2017,23,01,Torino,TO,ITC1,ITC11,1074296,1144910,2219206,1.036407
001,LESIONI DOLOSE,08.0 LESIONI DOLOSE,201,TORINO,2017,2691,01,Torino,TO,ITC1,ITC11,1074296,1144910,2219206,121.259586
001,PERCOSSE,09.0 PERCOSSE,201,TORINO,2017,537,01,Torino,TO,ITC1,ITC11,1074296,1144910,2219206,24.197844
001,MINACCE,10.0 MINACCE,201,TORINO,2017,2930,01,Torino,TO,ITC1,ITC11,1074296,1144910,2219206,132.029203
001,INGIURIE,11.0 INGIURIE,201,TORINO,2017,50,01,Torino,TO,ITC1,ITC11,1074296,1144910,2219206,2.253058
001,VIOLENZE SESSUALI,12.0 VIOLENZE SESSUALI,201,TORINO,2017,198,01,Torino,TO,ITC1,ITC11,1074296,1144910,2219206,8.922110
001,VIOLENZE SESSUALI,12.a Violenza sessuale su maggiori di anni 14,201,TORINO,2017,185,01,Torino,TO,ITC1,ITC11,1074296,1144910,2219206,8.336315
001,VIOLENZE SESSUALI,12.b Violenza sessuale in danno di minori di anni 14,201,TORINO,2017,12,01,Torino,TO,ITC1,ITC11,1074296,1144910,2219206,0.540734
001,ATTI SESSUALI CON MINORENNE,13.0 ATTI SESSUALI CON MINORENNE,201,TORINO,2017,13,01,Torino,TO,ITC1,ITC11,1074296,1144910,2219206,0.585795
001,CORRUZIONE DI MINORENNE,14.0 CORRUZIONE DI MINORENNE,201,TORINO,2017,2,01,Torino,TO,ITC1,ITC11,1074296,1144910,2219206,0.090122
001,FURTI,15.0 FURTI,201,TORINO,2017,64196,01,Torino,TO,ITC1,ITC11,1074296,1144910,2219206,2892.746325
001,FURTI,15.a Furto con strappo,201,TORINO,2017,1300,01,Torino,TO,ITC1,ITC11,1074296,1144910,2219206,58.579510
001,FURTI,15.b Furto con destrezza,201,TORINO,2017,13937,01,Torino,TO,ITC1,ITC11,1074296,1144910,2219206,628.017408
001,FURTI,15.d Furti in abitazione,201,TORINO,2017,9754,01,Torino,TO,ITC1,ITC11,1074296,1144910,2219206,439.526569
001,FURTI,15.e Furti in esercizi commerciali,201,TORINO,2017,4448,01,Torino,TO,ITC1,ITC11,1074296,1144910,2219206,200.432046
001,FURTI,15.f Furti su auto in sosta,201,TORINO,2017,11235,01,Torino,TO,ITC1,ITC11,1074296,1144910,2219206,506.262150
001,FURTI,15.g Furti di opere d'arte e materiale archeologico,201,TORINO,2017,11,01,Torino,TO,ITC1,ITC11,1074296,1144910,2219206,0.495673
001,FURTI,15.h Furti di automezzi pesanti trasportanti merci,201,TORINO,2017,42,01,Torino,TO,ITC1,ITC11,1074296,1144910,2219206,1.892569
001,FURTI,15.i Furti di ciclomotori,201,TORINO,2017,185,01,Torino,TO,ITC1,ITC11,1074296,1144910,2219206,8.336315
001,FURTI,15.j Furti di motociclo,201,TORINO,2017,432,01,Torino,TO,ITC1,ITC11,1074296,1144910,2219206,19.466422
001,FURTI,15.k Furti di autovetture,201,TORINO,2017,4790,01,Torino,TO,ITC1,ITC11,1074296,1144910,2219206,215.842964
001,RICETTAZIONE,16.0 RICETTAZIONE,201,TORINO,2017,901,01,Torino,TO,ITC1,ITC11,1074296,1144910,2219206,40.600107
001,RAPINE,17.0 RAPINE,201,TORINO,2017,1986,01,Torino,TO,ITC1,ITC11,1074296,1144910,2219206,89.491467
001,RAPINE,17.a Rapine in abitazione,201,TORINO,2017,116,01,Torino,TO,ITC1,ITC11,1074296,1144910,2219206,5.227095
001,RAPINE,17.b Rapine in banca,201,TORINO,2017,36,01,Torino,TO,ITC1,ITC11,1074296,1144910,2219206,1.622202
001,RAPINE,17.c Rapine in uffici postali,201,TORINO,2017,6,01,Torino,TO,ITC1,ITC11,1074296,1144910,2219206,0.270367
001,RAPINE,17.d Rapine in esercizi commerciali,201,TORINO,2017,306,01,Torino,TO,ITC1,ITC11,1074296,1144910,2219206,13.788715
001,RAPINE,17.h Rapine in pubblica via,201,TORINO,2017,1228,01,Torino,TO,ITC1,ITC11,1074296,1144910,2219206,55.335106
001,ESTORSIONI,18.0 ESTORSIONI,201,TORINO,2017,304,01,Torino,TO,ITC1,ITC11,1074296,1144910,2219206,13.698593
001,USURA,19.0 USURA,201,TORINO,2017,13,01,Torino,TO,ITC1,ITC11,1074296,1144910,2219206,0.585795
001,SEQUESTRI DI PERSONA,20.0 SEQUESTRI DI PERSONA,201,TORINO,2017,39,01,Torino,TO,ITC1,ITC11,1074296,1144910,2219206,1.757385
001,SEQUESTRI DI PERSONA,20.a Sequestri di persona a scopo estorsivo,201,TORINO,2017,8,01,Torino,TO,ITC1,ITC11,1074296,1144910,2219206,0.360489
001,SEQUESTRI DI PERSONA,20.b Sequestri di persona per motivi sessuali,201,TORINO,2017,5,01,Torino,TO,ITC1,ITC11,1074296,1144910,2219206,0.225306
